date,cpi,usd_try
2015-1,250.45,2.32834286
2015-2,252.24,2.455225
2015-3,255.23,2.58384091
2015-4,259.39,2.64814286
2015-5,260.85,2.64613684
2015-6,259.51,2.70115909
2015-7,259.74,2.69460455
2015-8,260.78,2.84555714
2015-9,263.11,3.002715
2015-10,267.2,2.92957619
2015-11,268.98,2.87128571
2015-12,269.54,2.91723478
2016-1,274.44,3.00695
2016-2,274.38,2.9406619
2016-3,274.27,2.89173913
2016-4,276.42,2.8347381
2016-5,278.02,2.92659524
2016-6,279.33,2.91698636
2016-7,282.58,2.95755556
2016-8,281.76,2.96286364
2016-9,282.27,2.9601
2016-10,286.33,3.06794286
2016-11,287.81,3.26745
2016-12,292.54,3.48892727
2017-1,299.74,3.73488636
2017-2,302.17,3.67236
2017-3,305.24,3.66594348
2017-4,309.23,3.653835
2017-5,310.61,3.5638619
2017-6,309.78,3.51899
2017-7,310.24,3.55986667
2017-8,311.85,3.50936957
2017-9,313.88,3.46547143
2017-10,320.4,3.66225909
2017-11,325.18,3.87905
2017-12,327.41,3.84770476
2018-1,330.75,3.7723087
2018-2,333.17,3.77802
2018-3,336.48,3.88087727
2018-4,342.78,4.0530381
2018-5,348.34,4.39787391
2018-6,357.44,4.62822
2018-7,359.41,4.74800909
2018-8,367.66,5.73019444
2018-9,390.84,6.36687
2018-10,401.27,5.85937273
2018-11,395.48,5.37349091
2018-12,393.88,5.30612381
2019-1,398.07,5.36939091
2019-2,398.71,5.262055
2019-3,402.81,5.4419381
2019-4,409.63,5.73577143
2019-5,413.52,6.04944545
2019-6,413.63,5.81193529
2019-7,419.24,5.67217727
2019-8,422.84,5.62478889
2019-9,427.04,5.71279524
2019-10,435.59,5.78454091
2019-11,437.25,5.73122857
2019-12,440.5,5.83762727
2020-1,446.45,5.91815909
2020-2,448.02,6.04447
2020-3,450.58,6.31443182
2020-4,454.43,6.81895238
2020-5,460.62,6.95194706
2020-6,465.84,6.80883182
2020-7,468.56,6.85109524
2020-8,472.61,7.25219
2020-9,477.21,7.50778182
2020-10,487.38,7.87388095
2020-11,498.58,8.00332381
2020-12,504.81,7.72106522
2021-1,513.3,7.393975
2021-2,517.96,7.072365
2021-3,523.53,7.62823478
2021-4,532.32,8.15502381
2021-5,537.05,8.34225
2021-6,547.48,8.59668182
2021-7,557.36,8.61294118
2021-8,563.6,8.47571429
2021-9,570.66,8.51188182
2021-10,584.32,9.139945
2021-11,604.84,10.52326364
2021-12,686.95,13.52849565
2022-1,763.23,13.5192619
2022-2,799.93,13.621125
2022-3,843.64,14.5656087
2022-4,904.79,14.68356667
2022-5,931.76,15.62392222
2022-6,977.9,16.96471818
2022-7,1001.03,17.38741667
2022-8,1015.65,17.99495
2022-9,1046.89,18.28147727
2022-10,1084.0,18.56461429
2022-11,1115.26,18.59089545
2022-12,1128.45,18.63696818
2023-1,1203.48,18.75757273
2023-2,1241.33,18.82331
2023-3,1269.75,18.9693087
2023-4,1300.04,19.30225263
2023-5,1300.6,19.68404762
2023-6,1351.59,23.06448947
2023-7,1479.84,26.4227381
2023-8,1614.31,26.95057727
2023-9,1691.04,26.94091905
2023-10,1749.11,27.79603182
2023-11,1806.5,28.58558636
2023-12,1859.38,29.0225619
2024-1,1984.02,29.9997
2024-2,2073.88,30.70415238
2024-3,2139.47,31.92921905
2024-4,2207.5,32.27132778
2024-5,2281.85,32.18989545
2024-6,2319.29,32.46274706
2024-7,2394.1,32.83532727
2024-8,2453.34,33.56078095
2024-9,2526.16,33.96927143
2024-10,2598.91,34.17101818
2024-11,2657.23,34.36471429
2024-12,2684.55,34.90382273
2025-1,2819.65,35.45595909
2025-2,2883.75,36.09402
2025-3,2954.69,36.970675
2025-4,3043.23,38.021785
2025-5,3089.74,38.685355
2025-6,3132.17,39.33922632
2025-7,3196.66,40.10610455
2025-8,3261.72,40.72830952
2025-9,3367.22,41.21921364
2025-10,3453.09,41.73025
2025-11,3482.96,42.17916
2025-12,3513.87,42.58609565
2026-1,3683.83,43.11246667
2026-2,,43.585695
2026-3,,44.07372857
2026-4,,44.46095556
